condition,ended_time_weekday,ended_time_weekend,seller_country,seller_feedback_pct,seller_feedback_positive,seller_feedback_neutral,seller_feedback_negative,seller_member_duration,num_bidders,bids,duration,hasItemDesc
Used,3,0,United States,100.0,17,0,0,6449,6,8,1,0
Used,4,0,United States,100.0,15,0,0,6204,13,20,7,0
Used,4,0,United States,100.0,1,0,0,5164,10,19,7,1
Used,4,0,United States,100.0,22,0,0,4340,3,9,1,0
Open box,5,1,United Kingdom,100.0,7,0,0,6111,11,17,7,0
Used,6,1,United States,100.0,16,0,0,4803,3,3,7,1
Used,5,1,United States,100.0,5,0,0,5757,6,11,1,0
Open box,0,0,United States,100.0,8,0,0,1167,5,7,7,0
Used,6,1,Germany,100.0,20,0,0,7577,24,36,7,0
Used,2,0,United States,100.0,1,0,0,1545,12,27,7,0
Used,0,0,United States,100.0,3,0,0,6150,18,47,7,0
Used,0,0,United Kingdom,100.0,3,0,0,3142,3,3,7,0
Used,6,1,United Kingdom,98.8,89,1,1,6730,4,13,7,0
Used,6,1,Australia,100.0,4,0,0,5670,8,14,5,0
New,2,0,Germany,100.0,1,0,0,1519,13,35,1,0
New,2,0,United Kingdom,88.9,8,0,1,1675,7,10,5,0
Open box,3,0,United States,100.0,61,0,0,1746,10,18,1,0
New,6,1,United States,100.0,13,0,0,111,21,50,7,0
Used,6,1,United States,100.0,8,0,0,8109,12,20,10,1
Used,4,0,Germany,100.0,1,0,0,13,12,21,3,0
Used,4,0,Germany,100.0,68,0,0,6243,22,50,10,1
Open box,6,1,United States,100.0,10,0,0,4596,7,8,7,0
Used,3,0,Italy,100.0,15,0,0,4955,16,51,7,0
Used,6,1,Germany,83.3,5,0,1,124,13,28,7,0
Used,0,0,United Kingdom,90.0,21,0,2,2774,17,53,1,0
Used,5,1,Australia,100.0,10,0,0,3011,5,12,5,0
Open box,5,1,United Kingdom,100.0,29,0,0,1682,10,20,7,0
Used,5,1,United States,100.0,11,0,0,3019,5,9,5,0
Used,5,1,United States,100.0,12,0,0,2050,11,26,7,0
Used,5,1,Germany,100.0,6,0,0,7139,6,12,7,1
Used,4,0,United States,100.0,2,0,0,6542,4,12,7,1
Used,4,0,United States,100.0,3,0,0,5331,9,19,7,0
Used,4,0,United States,100.0,1,0,0,1494,10,15,3,0
Used,3,0,United States,100.0,2,0,0,1117,11,15,5,0
Used,3,0,United States,100.0,23,0,0,363,9,17,3,0
Used,3,0,United Kingdom,100.0,16,0,0,694,15,27,3,0
Used,4,0,United Kingdom,100.0,25,0,0,4389,4,15,3,0
Used,1,0,Germany,100.0,2,0,0,6739,20,66,7,0
Used,6,1,United Kingdom,100.0,182,0,0,3864,2,3,10,0
For parts or not working,3,0,Italy,100.0,5,0,0,3273,21,98,7,0
Used,2,0,United Kingdom,94.7,41,0,2,6409,9,26,7,0
Used,0,0,United Kingdom,100.0,3,0,0,3144,3,3,7,0
Used,0,0,Australia,100.0,4,0,0,3645,2,3,3,0
Used,6,1,United Kingdom,100.0,45,0,0,5158,8,8,7,0
Used,3,0,United States,100.0,1,0,0,1078,22,47,7,0
Used,6,1,United States,100.0,49,0,0,3620,20,53,7,1
Open box,2,0,Germany,97.6,40,1,1,585,23,69,7,0
Used,6,1,United Kingdom,98.9,1469,10,16,7246,17,36,3,0
Used,1,0,United Kingdom,100.0,3,0,0,2145,10,34,3,0
Used,2,0,United States,100.0,17,0,0,2585,11,17,7,0
Used,4,0,United Kingdom,100.0,4,0,0,515,4,14,7,0
Used,2,0,United Kingdom,87.5,7,0,1,1545,5,10,3,1
Used,4,0,United Kingdom,100.0,3,0,0,2121,9,32,5,0
Used,2,0,United Kingdom,100.0,52,0,0,1192,12,25,1,1
Open box,2,0,United States,100.0,3,0,0,3229,12,25,3,0
New,3,0,United Kingdom,88.0,23,0,3,3658,10,27,7,0
Used,5,1,United Kingdom,100.0,4,1,0,7691,15,30,10,1
Used,5,1,United Kingdom,100.0,9,0,0,2336,17,38,7,0
Used,2,0,United States,93.8,20,0,1,7256,18,49,7,0
Used,5,1,United States,95.0,20,0,1,6524,7,13,5,0
Used,6,1,United States,100.0,4,0,0,6258,11,19,7,0
Used,4,0,United States,100.0,14,0,0,6197,13,20,7,0
Used,1,0,United States,100.0,23,0,0,3053,11,25,7,1
Used,6,1,United States,100.0,325,0,0,3908,26,62,10,1
New,6,1,United Kingdom,100.0,16,0,0,2560,9,17,7,0
Used,6,1,Germany,100.0,9,0,0,3741,9,22,7,0
Used,5,1,United States,100.0,12,0,0,5304,7,12,7,0
Open box,1,0,United Kingdom,100.0,7,0,0,85,15,30,3,0
Used,3,0,United Kingdom,100.0,40,0,0,3239,6,11,3,0
Used,0,0,United States,100.0,1,0,0,4077,23,42,7,0
Used,2,0,United States,99.7,392,0,1,2379,6,15,7,0
Used,5,1,United States,100.0,29,0,0,7199,18,28,3,0
Used,2,0,United States,98.2,58,0,1,655,3,6,5,0
Used,2,0,Germany,100.0,6,0,0,7243,10,27,5,0
Used,3,0,Australia,94.7,20,0,1,4543,8,8,7,0
Open box,1,0,United States,100.0,61,0,0,1746,9,16,1,0
Used,6,1,United States,100.0,2,0,0,1845,10,17,7,0
Used,4,0,United States,75.0,3,0,1,142,7,21,3,0
Used,6,1,United States,99.2,1012,1,8,6721,13,24,3,0
Used,6,1,Germany,100.0,6,0,0,7247,17,29,5,0
Used,3,0,Australia,100.0,1,0,0,2218,12,48,1,0
Used,4,0,United Kingdom,100.0,118,0,0,6411,14,20,5,0
Used,4,0,United Kingdom,100.0,13,0,0,7368,12,18,7,0
Used,2,0,Australia,100.0,68,0,0,5396,8,15,5,0
